2021  15371.7 31660.1 1950.28 25420.3 26744.2 29213.9 8022.51 30317.7 12677.9 2430.61 14591.5 32974.8 17353.2
1178  27352.5 28583.3 30570.9 23609.4   20661   33381 16392.5 19339.5 31867.9 16165.2  7635.1 11454.8 26701.3
5141  22977.5 9582.07 3783.97  7096.1 31259.8 9007.33 15359.9 8655.28 19197.6 10245.3 19846.7 14194.6 14267.2
8347  11046.2 1989.22 28403.4 12368.8   26048 20386.1 25574.2 11926.6 22469.5 33300.9 3614.23   29331 20758.7
6577  1629.14 20494.8 11973.8 3306.99 28215.4 2634.61 15626.3 33516.4 10389.7 20598.9 17999.3 6075.04 14371.7
2617  27756.7 24807.3 27176.1 29743.2 28108.3 5430.77 23123.1 3171.31 30190.3 24862.2  4078.1 20184.7 20719.3
2891  29704.7 16901.2 31960.8 26913.6 5122.53 21332.8 10371.1 9008.73 2575.58 33699.6 1460.37 18881.1 20793.2
7538  2255.97 14672.2 17505.8 24828.5 1610.38 20239.8 2482.95 24967.5 13105.6 28000.7 10293.9 12562.3 12939.4
2571  2498.33   15681 1364.25 12879.4 10246.7 8742.04 23562.4 16441.1 9474.13 1743.16 30240.8 24142.7 15701.6
9872  25349.7 15479.5   20428 32086.9 9661.93 15055.7 18367.5 13452.4 25951.5 7719.95 5048.39    7989 18020.8
5250  32475.2 30367.7 32545.2 2458.19 8096.35 14861.1 28754.7 19290.8 8278.71 15156.3 7571.34 32354.4 19350.8
4422  10716.9 25222.7 12523.2 21708.5 3902.61 26446.3 25864.2   32109 32603.6 4215.98 33425.3 19752.3 18636.8
1864    18041 23927.6 20282.6   20192 17539.9 30025.9   27814   14618 24522.7 17791.8 33056.6 27311.7 25219.7
