2 28 15 21 10 5 39 39 3 25 26 26 2 28 2 12 36 23 28 37 32 5 23 34 13
23 22 37 39 16 8 7 12 19 30 33 28 20 36 15 24 12 3 14 34 25 22 32 14 29
28 5 23 38 38 20 4 22 10 19 37 36 31 3 9 27 1 23 25 9 7 6 11 10 11
31 7 22 34 29 30 24 5 35 37 1 7 17 12 29 25 40 27 4 18 19 39 3 10 22
34 36 40 19 25 11 18 27 34 27 22 26 5 33 31 30 18 14 18 33 27 11 2 37 36
8 16 15 32 13 31 31 22 5 7 31 28 32 8 18 18 8 34 24 26 30 10 39 22 29
23 27 27 31 14 9 21 32 3 16 11 40 25 18 29 4 36 2 3 31 12 37 15 21 37
22 29 40 29 5 2 15 14 40 19 19 21 29 8 28 9 14 9 4 8 22 31 18 14 35
30 17 16 12 1 10 40 37 39 24 25 9 5 10 30 23 36 6 14 24 4 28 35 24 9
1 19 19 21 37 39 2 30 39 10 38 33 23 19 13 39 20 31 18 39 32 16 9 37 32
3 35 33 16 9 7 3 7 36 34 30 23 5 17 2 39 3 12 22 20 38 37 13 30 36
33 1 31 4 30 22 9 2 30 16 24 3 26 23 6 9 27 18 38 33 13 10 35 2 30
17 10 9 13 26 36 35 30 2 33 26 21 39 34 20 24 40 37 8 10 30 38 27 30 34
36 18 17 7 26 9 3 16 15 35 22 37 32 27 24 34 36 26 14 33 9 33 26 34 37
2 39 7 23 2 25 37 23 10 2 16 11 14 27 5 20 13 40 14 25 35 31 26 10 27
34 35 23 9 19 28 26 39 32 3 26 38 15 35 25 15 35 13 40 34 31 8 18 39 18
14 31 4 29 33 26 23 1 14 28 3 20 8 26 24 5 24 13 22 22 4 33 26 34 6
32 13 23 23 7 25 21 28 1 14 15 31 11 36 34 32 1 17 28 6 31 21 15 16 25
20 6 17 15 19 23 12 27 39 34 12 5 19 25 40 33 1 8 21 7 11 38 11 36 17
28 4 39 5 30 3 7 6 8 18 35 26 28 30 9 24 1 23 3 4 37 18 22 36 6
